#date,migrants,boats
"2022-05-24",252,7
"2022-05-25",0,0
"2022-05-26",0,0
"2022-05-27",0,0
"2022-05-28",0,0
"2022-05-29",0,0
"2022-05-30",0,0
"2022-05-31",32,2
"2022-06-01",249,8
"2022-06-02",198,4
"2022-06-03",139,6
"2022-06-04",40,1
"2022-06-05",0,0
"2022-06-06",0,0
"2022-06-07",0,0
"2022-06-08",79,2
"2022-06-09",0,0
"2022-06-10",0,0
"2022-06-11",0,0
"2022-06-12",0,0
"2022-06-13",111,3
"2022-06-14",138,3
"2022-06-15",444,11
"2022-06-16",233,6
"2022-06-17",146,4
"2022-06-18",146,4
"2022-06-19",321,7
"2022-06-20",0,0
"2022-06-21",0,0
"2022-06-22",49,1
"2022-06-23",98,3
"2022-06-24",138,3
"2022-06-25",231,5
"2022-06-26",0,0
"2022-06-27",0,0
"2022-06-28",153,4
"2022-06-29",25,1
"2022-06-30",269,6
"2022-07-01",94,2
"2022-07-02",0,0
"2022-07-03",0,0
"2022-07-04",0,0
"2022-07-05",153,5
"2022-07-06",0,0
"2022-07-07",248,5
"2022-07-08",0,0
"2022-07-09",23,1
"2022-07-10",146,3
"2022-07-11",37,1
"2022-07-12",442,15
"2022-07-13",259,6
"2022-07-14",149,3
"2022-07-15",173,4
"2022-07-16",174,4
"2022-07-17",119,3
"2022-07-18",154,4
"2022-07-19",330,7
"2022-07-20",330,7
"2022-07-21",0,0
"2022-07-22",0,0
"2022-07-23",0,0
"2022-07-24",37,1
"2022-07-25",35,1
"2022-07-26",136,3
"2022-07-27",0,0
"2022-07-28",202,5
"2022-07-29",0,0
"2022-07-30",247,7
"2022-07-31",460,12
"2022-08-01",0,0
"2022-08-02",696,14
"2022-08-03",0,0
"2022-08-04",0,0
"2022-08-05",388,8
"2022-08-06",288,5
"2022-08-07",337,10
"2022-08-08",176,5
"2022-08-09",386,8
"2022-08-10",38,1
"2022-08-11",0,0
"2022-08-12",261,7
"2022-08-13",402,8
"2022-08-14",607,14
"2022-08-15",283,6
"2022-08-16",78,4
"2022-08-17",180,4
"2022-08-18",606,12
"2022-08-19",214,5
"2022-08-20",214,5
"2022-08-21",0,0
"2022-08-22",0,0
"2022-08-24",187,4
"2022-08-25",532,11
"2022-08-26",804,16
"2022-08-27",0,0
"2022-08-28",915,19
"2022-08-29",0,0
"2022-08-30",0,0
"2022-08-31",0,0
"2022-09-01",0,0
"2022-09-02",0,0
"2022-09-03",221,5
"2022-09-04",960,20
"2022-09-06",188,5
"2022-09-07",135,3
"2022-09-08",0,0
"2022-09-09",0,0
"2022-09-10",0,0
"2022-09-11",0,0
"2022-09-12",253,8
"2022-09-13",601,19
"2022-09-14",538,11
"2022-09-15",0,0
"2022-09-16",617,14
"2022-09-17",0,0
"2022-09-18",0,0
"2022-09-19",0,0
"2022-09-20",0,0
"2022-09-21",93,4
"2022-09-22",667,15
"2022-09-24",656,15
"2022-09-25",656,15
"2022-09-26",0,0
"2022-09-27",0,0
"2022-09-28",0,0
"2022-09-29",0,0
"2022-09-30",499,10
"2022-10-01",194,4
"2022-10-02",194,4
"2022-10-03",0,0
"2022-10-04",541,9
"2022-10-05",541,9
"2022-10-06",0,0
"2022-10-07",0,0
"2022-10-08",0,0
"2022-10-09",46,1
"2022-10-10",1065,25
"2022-10-11",539,13
"2022-10-12",374,7
"2022-10-13",856,19
"2022-10-14",0,0
"2022-10-15",496,11
"2022-10-16",0,0
"2022-10-17",0,0
"2022-10-18",0,0
"2022-10-19",502,12
"2022-10-20",0,0
"2022-10-21",0,0
"2022-10-22",0,0
"2022-10-23",0,0
"2022-10-24",528,10
"2022-10-25",528,10
"2022-10-26",0,0
"2022-10-27",0,0
"2022-10-28",308,9
"2022-10-29",0,0
"2022-10-30",990,24
"2022-10-31",468,8
"2022-11-01",46,1
"2022-11-02",0,0
"2022-11-03",0,0
"2022-11-04",0,0
"2022-11-05",0,0
"2022-11-06",0,0
"2022-11-07",0,0
"2022-11-08",0,0
"2022-11-09",0,0
"2022-11-10",0,0
"2022-11-11",0,0
"2022-11-12",0,0
"2022-11-13",972,22
"2022-11-14",853,26
"2022-11-15",400,8
"2022-11-16",400,8
"2022-11-17",0,0
"2022-11-18",0,0
"2022-11-19",0,0
"2022-11-20",0,0
"2022-11-21",0,0
"2022-11-22",0,0
"2022-11-23",0,0
"2022-11-24",0,0
"2022-11-25",0,0
"2022-11-26",36,1
"2022-11-27",36,1
"2022-11-28",0,0
"2022-11-29",426,7
"2022-11-30",884,17
"2022-12-01",426,8
"2022-12-02",161,14
"2022-12-03",0,0
"2022-12-04",0,0
"2022-12-05",0,0
"2022-12-06",0,0
"2022-12-07",0,0
"2022-12-08",0,0
"2022-12-09",0,0
"2022-12-10",90,2
"2022-12-11",315,9
"2022-12-12",240,5
"2022-12-13",240,5
"2022-12-14",0,0
"2022-12-15",0,0
"2022-12-16",401,8
"2022-12-17",0,0
"2022-12-18",350,7
"2022-12-19",0,0
"2022-12-20",0,0
"2022-12-21",0,0
"2022-12-22",0,0
"2022-12-23",0,0
"2022-12-24",0,0
"2022-12-25",0,0
